Incident Number,Province,Incident type,Incident Types,Emergency Level,Reported Date,Discovered Date and Time,Regulation,Status,Company,Latitude,Longitude,Facility Name,Pipeline or Facility Type,Pipeline Name,Pipeline length (km),Pipeline/Equipment Involved?,Equipment Inspected?,No maintenance done on this equipment or component,Substance,Rupture,Released substance type,Release Type,Released volume (m3),Substance carried,Why it Happened,Significant,Activity being performed at time of incident,Workdays lost,Number of fatalities,Number of individuals injured,Number of people evacuated
INC2010-156,British Columbia,"Adverse Environmental Effects, Release of Substance","Release of Substance, Adverse Environmental Effects",Level I,12/13/2010,12/12/2010 2:30,PPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14630278,-120.6691694,,,"",,Yes,No,No,Contaminated Water,No,Contaminated Water,Miscellaneous,0,,Maintenance,Yes,Operation,,,,0
INC2010-155,Ontario,Release of Substance,Release of Substance,Level I,12/13/2010,12/13/2010 10:30,OPR,Closed,TransCanada PipeLines Limited,49.70361,-87.41084,,,Tcpl - Mlv 78,,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2010-153,Saskatchewan,Release of Substance,Release of Substance,Level I,12/10/2010,12/8/2010 5:00,OPR,Closed,TransCanada PipeLines Limited,50.39316667,-104.4093611,,,Tcpl - Station 17 (Regina Compressor Station),,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,2.8,,Engineering and Planning,No,Operation,,,,0
INC2010-151,British Columbia,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,12/8/2010,12/5/2010 12:00,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",59.20186,-121.596498,,,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2010-150,Ontario,Release of Substance,Release of Substance,Level I,12/6/2010,12/6/2010 4:00,OPR,Closed,TransCanada PipeLines Limited,45.71830278,-79.4368138,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2010-149,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,12/3/2010,11/25/2010 12:00,OPR,Closed,Enbridge Pipelines Inc.,52.63944722,-111.2781389,,,Enbridge - Alberta Clipper,,Yes,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2010-148,Saskatchewan,Release of Substance,Release of Substance,Level I,12/3/2010,12/3/2010 12:00,OPR,Closed,TransCanada PipeLines Limited,50.605125,-108.7085556,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2010-147,New Brunswick,Release of Substance,Release of Substance,Level I,12/1/2010,12/1/2010 12:00,OPR,Closed,Maritimes & Northeast Pipeline Management Ltd.,45.886624,-66.551134,,,Fredericton Meter Station,,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0.5,,Maintenance,No,Operation,,,,0
INC2010-145,Alberta,Release of Substance,Release of Substance,Level I,12/1/2010,11/30/2010 6:00,OPR,Closed,NOVA Gas Transmission Ltd.,51.93893056,-112.0749444,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2010-143,Saskatchewan,Release of Substance,Release of Substance,Level I,11/30/2010,11/29/2010 9:15,OPR,Closed,Foothills Pipe Lines Ltd.,49.55266,-108.3695,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2010-141,Saskatchewan,Release of Substance,Release of Substance,Level I,11/27/2010,11/26/2010 5:44,OPR,Closed,Foothills Pipe Lines (Saskatchewan) Ltd.,49.98,-109.12,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Standards and Procedures,No,Operation,,,,0
INC2010-139,Alberta,Operation Beyond Design Limits,Operation Beyond Design Limits,Level I,11/24/2010,11/24/2010 7:56,OPR,Closed,Enbridge Pipelines Inc.,53.54769,-113.35921,,,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,No,Operation,,,,0
INC2010-137,Saskatchewan,Release of Substance,Release of Substance,Level I,11/22/2010,11/20/2010 10:14,OPR,Closed,TransCanada PipeLines Limited,50.33177,-103.60955,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,0,,Maintenance,No,Operation,,,,0
INC2010-135,British Columbia,Release of Substance,Release of Substance,Level I,11/22/2010,11/22/2010 11:00,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",54.86820278,-120.6479722,,,Grizzly Pipeline,160.6452,Yes,No,No,Natural Gas - Sour,No,Natural Gas - Sour,Gas,0,Natural Gas Sour,Maintenance,Yes,Operation,,,,0
INC2010-134,British Columbia,Adverse Environmental Effects,Adverse Environmental Effects,Level I,11/22/2010,11/19/2010 7:00,OPR,Closed,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.39952,-122.09349,WEI - Goodrich Pipeline Extension Injection Well,,"",,Yes,No,No,Not Applicable,No,,Not Applicable,,,Engineering and Planning,Yes,Operation,,,,0
INC2010-131,New Brunswick,Release of Substance,Release of Substance,Level I,11/20/2010,11/20/2010 9:20,OPR,Closed,Maritimes & Northeast Pipeline Management Ltd.,45.27811111,-66.0088056,,,"",,Yes,No,No,Natural Gas - Sweet,No,Natural Gas - Sweet,Gas,2.8,,Maintenance,No,Operation,,,,0
